No.,Pos.,Player,Date of birth,Caps,Club
22,GK,Ali Doumbia,1 January 1966,Africa Sports
1,GK,Alain Gouaméné,15 June 1966,Raja Casablanca
16,GK,Losseni Konaté,29 December 1972,ASEC Abidjan
2,DF,Basile Aka Kouamé,6 April 1963,ASEC Abidjan
20,DF,Lassina Dao,6 February 1971,ASEC Abidjan
3,DF,Arsène Hobou,30 October 1967,ASEC Abidjan
12,DF,Nagueu Lignon,29 December 1968,Africa Sports
4,DF,Alassane Ouattara,1 January 1966,Africa Sports
5,DF,Lué Rufin,5 January 1968,Africa Sports
19,DF,Sam Abouo,26 December 1973,ASEC Abidjan
6,DF,Sékana Diaby,10 August 1968,Unattached
8,MF,Oumar Ben Salah,2 July 1964,Le Mans UC72
7,MF,Saint-Joseph Gadji-Celi,1 May 1961,ASEC Abidjan
14,MF,Lucien Kassy-Kouadio,12 December 1963,ASEC Abidjan
17,MF,Serge-Alain Maguy,20 October 1970,Africa Sports
15,MF,Didier Otokoré,26 March 1969,AJ Auxerre
21,MF,Donald-Olivier Sié,3 April 1970,ASEC Abidjan
18,FW,Eugène Beugré Yago,1 January 1966,Africa Sports
11,FW,Youssouf Fofana,26 July 1966,AS Monaco
9,FW,Joël Tiéhi,12 June 1964,Le Havre AC
10,FW,Abdoulaye Traoré,4 March 1967,ASEC Abidjan
13,FW,Moussa Traoré,25 December 1971,Olympique Alès